序号,时间(s),电压,阻抗
6529,816.048,0.3694336603472361,6672.789551
6530,816.173,0.29372202699437955,6672.733398
6531,816.298,0.2552991627028102,6673.545898
6532,816.422,0.289329094404559,6673.34375
6533,816.548,0.3334280798991079,6673.34375
6534,816.673,0.3830985312933228,6673.341797
6535,816.798,0.44504321984267686,6673.429199
6536,816.923,0.43079573925892495,6673.866211
6537,817.048,0.4433268338154487,6673.45752
6538,817.173,0.43061663404627687,6672.47168
6539,817.297,0.3977770758809707,6673.314941
6540,817.423,0.34996057793056545,6673.197754
6541,817.548,0.30226398497958984,6673.720215
6542,817.672,0.2654842798572444,6673.374023
6543,817.798,0.2637146820615623,6673.780762
6544,817.923,0.2963090955250392,6673.401367
6545,818.048,0.38582167335707734,6673.808594
6546,818.173,0.4571618263503425,6674.591797
6547,818.297,0.4806434402762807,6674.099121
6548,818.423,0.4738252949257839,6674.593262
6549,818.548,0.35324756357026676,6673.837402
6550,818.673,0.01457442489307856,6673.08252
6551,818.798,-0.2308895535149269,6671.745117
6552,818.922,-0.4954264584513091,6672.007324
6553,819.047,-0.5571125644831418,6672.96582
6554,819.173,-0.4045272023211594,6672.645508
6555,819.298,-0.21535194958997123,6671.687988
6556,819.423,0.04930851407939581,6671.71582
6557,819.547,0.2562571255346963,6672.674316
6558,819.672,0.3332463101298552,6672.210938
6559,819.797,0.4339319574997277,6672.355957
6560,819.922,0.4644233864427092,6673.110352
6561,820.048,0.43350150923020986,6673.807617
6562,820.172,0.4021941541650536,6672.035645
6563,820.297,0.37516771077314304,6671.950684
6564,820.422,0.36330372396745114,6672.036133
6565,820.547,0.36682752483754627,6672.500488
6566,820.672,0.369684860944188,6670.90332
6567,820.797,0.3864901218865115,6672.791504
6568,820.922,0.3962660690692676,6670.524902
6569,821.047,0.40310844141656116,6669.132324
6570,821.172,0.39856598480504724,6669.074219
6571,821.298,0.4112883010998286,6670.292969
6572,821.422,0.39934176852613246,6670.147461
6573,821.548,0.41303415181414027,6670.525879
6574,821.673,0.4531394452652705,6670.611816
6575,821.798,0.47758579968700315,6670.874023
6576,821.923,0.48351886502367825,6670.758301
6577,822.047,0.484537723879442,6670.814941
6578,822.172,0.4589085718410802,6670.235352
6579,822.297,0.47671650292867174,6671.338867
6580,822.422,0.4480018317143246,6671.42627
6581,822.547,0.44318486351987624,6670.756348
6582,822.672,0.42892978546005284,6670.321777
6583,822.797,0.4551623456825795,6670.496582
6584,822.922,0.4787242511058307,6670.524414
6585,823.047,0.5321194311196363,6671.338379
6586,823.173,0.5566897363923189,6670.351074
6587,823.297,0.5844435388853104,6671.920898
6588,823.422,0.559154543856441,6672.412598
6589,823.547,0.4907451117694728,6672.560547
6590,823.672,0.35326493337916276,6672.124023
6591,823.797,0.19438350786984804,6672.039063
6592,823.923,0.07293116100992134,6672.270508
6593,824.047,0.04224428979406972,6672.297852
6594,824.173,0.14726155090408818,6672.55957
6595,824.297,0.250088246215372,6672.23877
6596,824.422,0.43131584029731357,6672.09375
6597,824.547,0.5522424315251336,6672.994141
6598,824.672,0.5684050092096751,6672.792969
6599,824.797,0.6016815296719413,6673.314941
6600,824.922,0.6294481800865643,6673.693359
6601,825.047,0.57505684682319,6674.331543
6602,825.172,0.5958607528137574,6672.09375
6603,825.297,0.5555116464890966,6672.733887
6604,825.422,0.5709672540576441,6672.9375
6605,825.547,0.5466113405280484,6672.29834
6606,825.672,0.5478404473635242,6672.240723
6607,825.797,0.547520911656393,6672.268555
6608,825.922,0.5281204374206249,6672.646484
6609,826.047,0.5246857399522896,6671.659668
6610,826.172,0.5528401201984229,6671.54248
6611,826.298,0.6109541769662714,6671.71582
6612,826.422,0.6517382381976502,6672.269043
6613,826.547,0.709225023648649,6671.571777
6614,826.672,0.7401592188452876,6672.037598
6615,826.797,0.78078019020417,6672.850098
6616,826.923,0.7531244027283478,6671.74707
6617,827.047,0.7313197018362312,6671.106445
6618,827.172,0.7476404256048903,6671.542969
6619,827.297,0.7601444038508304,6672.472168
6620,827.422,0.8131661091144354,6670.060547
6621,827.547,0.8434498426405558,6671.571289
6622,827.672,0.9049945419630647,6671.310547
6623,827.797,0.8847537243502714,6671.020508
6624,827.922,0.8882244012591469,6670.525879
6625,828.047,0.8837161413782728,6670.323242
6626,828.172,0.8704208207553921,6671.049316
6627,828.297,0.8720952384076839,6670.874023
6628,828.422,0.910827551072288,6671.222168
6629,828.547,0.9222627367243014,6672.268555
6630,828.672,0.9110695791826914,6671.687988
6631,828.797,0.867349876660599,6671.659668
6632,828.922,0.8101041584436229,6669.481445
6633,829.047,0.7276734135570664,6669.741699
6634,829.172,0.6975354424295909,6669.799805
6635,829.297,0.6972917870841299,6670.120117
6636,829.422,0.7832508046067748,6670.381348
6637,829.547,0.920213714354759,6670.989746
6638,829.672,1.0596120287168374,6670.148438
6639,829.797,1.166432181171815,6670.496582
6640,829.922,1.2020431495606292,6670.438965
6641,830.047,1.237061171127141,6671.398438
6642,830.172,1.1624557484751021,6672.501953
6643,830.297,1.1359305941819102,6671.106445
6644,830.422,1.1260883349062134,6670.961914
6645,830.546,1.1359378496962933,6671.572266
6646,830.672,1.1422181281795702,6670.149414
6647,830.796,1.159261766147085,6671.660156
6648,830.922,1.167394786237833,6670.991211
6649,831.047,1.1856341949671372,6671.833984
6650,831.172,1.1885074339954171,6672.06543
6651,831.297,1.1982966603265766,6672.124023
6652,831.421,1.168687858767353,6672.064941
6653,831.547,1.2120493468697153,6671.106934
6654,831.672,1.255782897494197,6670.845703
6655,831.797,1.2707501974869466,6671.164551
6656,831.922,1.2777707902688737,6671.165527
6657,832.046,1.2735660884033313,6671.078125
6658,832.171,1.2254211887417208,6671.106445
6659,832.297,1.2306068594088526,6670.642578
6660,832.422,1.210650127676273,6671.080078
6661,832.547,1.2223044633463134,6670.702148
6662,832.672,1.2360495403439846,6671.598145
6663,832.797,1.2537623033005172,6671.048828
6664,832.921,1.2853608831783192,6671.544434
6665,833.047,1.3116393887746274,6670.207031
6666,833.172,1.3145485452827514,6670.672363
6667,833.297,1.3285245834804233,6670.788574
6668,833.422,1.3395161847948183,6670.207031
6669,833.547,1.3491988972003792,6670.466797
6670,833.672,1.338588058239854,6670.147949
6671,833.797,1.2712554166741097,6670.467773
6672,833.922,1.1660575323960285,6669.741699
6673,834.047,1.037810542613639,6669.858398
6674,834.171,0.9342816657019521,6670.321777
6675,834.297,0.8949486487183319,6670.758301
6676,834.422,0.8893118069009253,6670.264648
6677,834.547,0.966079119848521,6668.55127
6678,834.672,1.0867818596759296,6670.119629
6679,834.797,1.1653710996024498,6671.105957
6680,834.922,1.2393015688620908,6670.26416
6681,835.047,1.2555078801192052,6670.642578
6682,835.171,1.2114508343654227,6669.915039
6683,835.296,1.1869130053982662,6670.032715
6684,835.422,1.1464628232079994,6669.945313
6685,835.546,1.1228267681707833,6670.120117
6686,835.672,1.0730217130353308,6668.812988
6687,835.796,1.0373156912432286,6669.044922
6688,835.922,0.9831509926544444,6669.42334
6689,836.046,0.927400957911657,6669.248047
6690,836.171,0.8899570389382652,6669.19043
6691,836.296,0.8635914230822335,6666.580078
6692,836.422,0.8611060299316616,6666.985352
6693,836.546,0.8801779773720748,6666.984863
6694,836.671,0.8670450918379161,6666.521973
6695,836.797,0.8952781167256684,6665.099609
6696,836.922,0.8778350707575411,6665.650879
6697,837.046,0.8911693400209876,6666.868652
6698,837.172,0.8781459801708436,6665.506836
6699,837.297,0.8577812649410721,6666.231445
6700,837.422,0.8452404943975756,6667.827637
6701,837.546,0.8140897262776992,6665.999023
6702,837.671,0.757224306852447,6666.549316
6703,837.796,0.6784104037586712,6666.055664
6704,837.921,0.6224395855880516,6665.389648
6705,838.046,0.5905363366874843,6666.202148
6706,838.171,0.578562890778009,6666.202148
6707,838.296,0.5761840802642815,6665.883789
6708,838.422,0.6151272298353556,6664.984863
6709,838.546,0.6553728844669683,6665.246094
6710,838.671,0.65842040247799,6665.477539
6711,838.796,0.620202398640328,6665.768066
6712,838.921,0.5411557434362227,6665.680176
6713,839.046,0.42320441045272544,6665.941406
6714,839.172,0.31207058527486525,6664.983887
6715,839.296,0.2167464453807113,6664.956055
6716,839.422,0.20221933396178124,6664.636719
6717,839.546,0.24537006422050378,6665.535645
6718,839.672,0.342568250873376,6664.751953
6719,839.797,0.4308591469303072,6664.490723
6720,839.921,0.530773193481197,6663.852539
6721,840.046,0.569487153455138,6664.577637
6722,840.171,0.575564503776753,6663.071289
6723,840.296,0.5668737331769765,6664.490723
6724,840.421,0.5471068915958208,6663.826172
6725,840.546,0.5735676092479718,6663.708984
6726,840.671,0.6369601343856718,6664.433105
6727,840.797,0.7079073542980366,6664.868652
6728,840.921,0.807821026912538,6664.636719
6729,841.046,0.8319936541036174,6664.897949
6730,841.171,0.831581099962485,6663.971191
6731,841.296,0.7878846123209454,6665.099609
6732,841.421,0.7558587500342168,6664.781738
6733,841.546,0.683912391050478,6664.577637
6734,841.671,0.6590631093801538,6664.548828
6735,841.796,0.6596064589479164,6664.202148
6736,841.921,0.6539493671124498,6664.172852
6737,842.046,0.6603708852009761,6663.94043
6738,842.171,0.687128144443853,6664.345215
6739,842.296,0.6871111120142774,6663.418945
6740,842.421,0.6635943520797162,6663.911621
6741,842.546,0.6638323899163763,6664.144043
6742,842.671,0.6693366789931788,6663.681152
6743,842.796,0.6977360834366964,6664.34668
6744,842.921,0.7382950094369104,6663.911133
6745,843.046,0.7608001663377775,6665.302246
6746,843.171,0.7723486875393645,6664.780273
6747,843.296,0.7598463963057426,6665.53418
6748,843.422,0.7357075772532881,6665.04248
6749,843.546,0.7130797179730084,6665.506836
6750,843.671,0.7611221468693314,6665.272949
6751,843.796,0.7739702120599558,6665.737793
6752,843.921,0.7345382228868097,6664.54834
6753,844.046,0.6990469926850602,6665.157227
6754,844.171,0.5953028399152058,6666.637695
6755,844.296,0.4610172997558155,6664.837402
6756,844.421,0.3643245053487898,6665.331543
6757,844.546,0.2964172702246501,6665.939453
6758,844.671,0.3371184065897,6665.418457
6759,844.796,0.3964291363472439,6663.96875
6760,844.921,0.48796545484184084,6663.447266
6761,845.046,0.5742394611960916,6662.665527
6762,845.171,0.6176229298095559,6663.332031
6763,845.296,0.6614593226549801,6663.678223
6764,845.421,0.6750248403383426,6664.375
6765,845.546,0.6668324516861655,6663.796387
6766,845.671,0.6861373112145304,6663.187012
6767,845.796,0.7401175067471019,6665.013184
6768,845.921,0.7999047630548398,6663.739258
6769,846.046,0.8388900307174758,6663.389648
6770,846.171,0.8662089658724452,6663.852539
6771,846.296,0.8913453416962148,6664.290039
6772,846.421,0.8777973208900794,6664.170898
6773,846.546,0.8816112105369165,6664.548828
6774,846.671,0.8881778116446921,6664.086426
6775,846.796,0.8908027525429102,6664.491211
6776,846.921,0.9017142723785213,6663.998047
6777,847.046,0.9153655296154899,6664.753418
6778,847.171,0.8948659218584671,6664.460449
6779,847.296,0.8995903982989505,6664.056152
6780,847.421,0.873804730248389,6664.75
6781,847.546,0.8283926791798172,6663.708008
6782,847.671,0.7905371895362623,6664.143066
6783,847.795,0.7788019314173837,6664.200195
6784,847.921,0.7704899612093066,6663.245605
6785,848.046,0.7946647872335085,6663.506836
6786,848.171,0.8108145933473152,6663.215332
6787,848.295,0.8143389574332681,6662.057129
6788,848.421,0.8147438858469668,6663.679199
6789,848.546,0.8090653945513778,6664.722168
6790,848.671,0.8033405763280865,6664.027344
6791,848.796,0.7898531358682973,6664.084961
6792,848.921,0.7871554216897695,6664.462402
6793,849.046,0.8057588139489634,6663.911621
6794,849.171,0.835518625259414,6664.200195
6795,849.296,0.8723629594372556,6664.955566
6796,849.421,0.9010250186990186,6664.170898
6797,849.546,0.9220387865556343,6663.94043
6798,849.67,0.90301607975834,6663.882813
6799,849.795,0.8921254726391465,6663.649902
6800,849.92,0.8814925143358249,6663.562012
6801,850.045,0.8832777685380665,6664.141602
6802,850.171,0.9176915651083956,6664.373535
6803,850.296,0.9798872793824236,6663.852539
6804,850.42,1.0600400286968015,6663.736816
6805,850.546,1.121853244671105,6662.925293
6806,850.67,1.1481634853401366,6662.462402
6807,850.795,1.1161589151655278,6662.694824
6808,850.921,1.096124200283968,6661.709961
6809,851.045,1.015071512286551,6662.578125
6810,851.171,0.9621205518273014,6662.721191
6811,851.296,0.8789661392780901,6663.071777
6812,851.421,0.8175904730251109,6661.82373
6813,851.546,0.7569424750558371,6661.158691
6814,851.67,0.6773152976298309,6662.115234
