序号,时间(s),电压,阻抗
11456,1431.884,-1.4981806181671204,6536.870117
11457,1432.009,-1.5213963780119681,6537.344727
11458,1432.134,-1.464238791476426,6538.460938
11459,1432.259,-1.4863049686802445,6538.041992
11460,1432.385,-1.5295395610186118,6538.48877
11461,1432.509,-1.6151596282818577,6538.850098
11462,1432.634,-1.704703311249453,6538.237305
11463,1432.759,-1.78190977102665,6538.682617
11464,1432.884,-1.7597389410353184,6538.51709
11465,1433.009,-1.74459809747747,6538.711914
11466,1433.134,-1.6921538685170108,6538.683594
11467,1433.259,-1.629018069424629,6539.272949
11468,1433.384,-1.589772859924833,6539.243164
11469,1433.51,-1.5725089538813495,6538.962891
11470,1433.634,-1.5981586472349614,6539.575195
11471,1433.759,-1.6195495469846137,6539.130371
11472,1433.884,-1.5650349590289951,6539.411133
11473,1434.009,-1.5240585978887844,6538.93457
11474,1434.134,-1.5027258766715639,6538.876953
11475,1434.259,-1.4579209600382164,6538.459961
11476,1434.384,-1.5169553892192928,6539.130371
11477,1434.509,-1.6359815615723765,6540.246094
11478,1434.634,-1.7850950829035803,6538.962891
11479,1434.759,-1.8983818250695916,6538.626465
11480,1434.884,-1.9734782227016758,6539.072754
11481,1435.009,-2.0060027023048144,6538.655273
11482,1435.133,-1.952143869808709,6539.633789
11483,1435.259,-1.951985114214987,6539.016113
11484,1435.384,-1.9999860196854424,6539.296875
11485,1435.509,-2.135943898125264,6539.187012
11486,1435.634,-2.294914036362846,6538.907227
11487,1435.759,-2.4085287966519555,6538.626953
11488,1435.884,-2.506524332120026,6537.706055
11489,1436.01,-2.433273106356486,6538.042969
11490,1436.133,-2.3129816642030625,6537.091797
11491,1436.259,-2.1957077062654,6536.705078
11492,1436.384,-2.0799539102847198,6536.063965
11493,1436.509,-2.026570058100929,6537.12207
11494,1436.634,-2.0576049841202777,6537.762207
11495,1436.759,-2.1053456479629866,6536.173828
11496,1436.884,-2.2240296093134146,6537.539063
11497,1437.008,-2.3171950319998618,6537.345703
11498,1437.134,-2.4125011244371684,6536.590332
11499,1437.258,-2.445766336705708,6538.099609
11500,1437.384,-2.5045807490102767,6535.561523
11501,1437.508,-2.552645364100296,6536.42627
11502,1437.634,-2.5267970594878264,6536.397949
11503,1437.759,-2.503513473397137,6536.202148
11504,1437.883,-2.4214928224502676,6537.288086
11505,1438.009,-2.3422432553905637,6537.596191
11506,1438.133,-2.298628176942075,6537.762695
11507,1438.258,-2.276999715409817,6537.315918
11508,1438.383,-2.2817391394763034,6538.487793
11509,1438.508,-2.292402653220148,6534.865234
11510,1438.634,-2.275916544470726,6535.949219
11511,1438.758,-2.2717379164939584,6534.973145
11512,1438.883,-2.1897698001500894,6535.280762
11513,1439.009,-2.1486548653523094,6534.974121
11514,1439.133,-2.101748915779877,6534.611328
11515,1439.258,-2.0625367856319614,6535.893555
11516,1439.383,-2.079830902004452,6536.619629
11517,1439.509,-2.0800242473815973,6537.395996
11518,1439.634,-2.1288909712914132,6537.481934
11519,1439.758,-2.122283076420573,6537.563965
11520,1439.883,-2.108641667343426,6536.865234
11521,1440.008,-2.074885554507485,6536.19873
11522,1440.134,-2.05559467807038,6534.557129
11523,1440.259,-2.0162489057111688,6533.331055
11524,1440.384,-2.029897107041873,6533.887207
11525,1440.508,-2.064617423576167,6533.748535
11526,1440.634,-2.1949660290940067,6534.279785
