序号,时间(s),电压,阻抗
1229,154.838,0.02387910969914053,7043.474609
1230,154.964,0.0793592502917587,7042.814453
1231,155.091,0.1180694494985983,7045.024902
1232,155.216,0.11618592884781163,7053.061035
1233,155.342,0.11423980316306637,7072.706543
1234,155.468,0.0975446602130884,7180.607422
1235,155.594,0.11727136953122423,7203.411621
1236,155.722,0.10210493165549164,7217.027344
1237,155.846,0.12421481663231489,7213.535645
1238,155.973,0.1483903271487809,7256.877441
1239,156.098,0.1428008914602781,7225.695313
1240,156.224,0.1464758060270882,7229.918457
1241,156.35,0.11548672477084301,7237.196777
1242,156.476,0.0789389825033189,7241.686523
1243,156.602,0.008476287540990573,7245.087402
1244,156.728,-0.07525105921144443,7224.209961
1245,156.855,-0.1696470617958377,7220.585449
1246,156.98,-0.2558244858301083,7222.31543
1247,157.107,-0.3152484430589471,7232.246094
1248,157.232,-0.33942829282862474,7208.790527
1249,157.358,-0.29944523449623844,7224.299316
1250,157.484,-0.22247723648934167,7228.390137
1251,157.61,-0.1308910788452043,7232.17334
1252,157.736,-0.01578905729961575,7195.475098
1253,157.862,0.06838503241798463,7236.427734
1254,157.988,0.12181495867530419,7225.387207
1255,158.114,0.11732669151170462,7226.553711
1256,158.24,0.11827492794464128,7206.777832
1257,158.366,0.11226925814021975,7205.638184
1258,158.492,0.08429275956377731,7224.779785
1259,158.618,0.08158705824201988,7220.661133
1260,158.744,0.08336806005540129,7235.657227
1261,158.87,0.09045838123926589,7243.428711
1262,158.996,0.1160801372524184,7199.205566
1263,159.122,0.13108512937209482,7219.782715
1264,159.248,0.12276200591656714,7185.844727
1265,159.375,0.09465776627537552,7150.862305
1266,159.5,0.05625942671558131,7077.217773
1267,159.626,-0.027008855759187614,7056.833496
1268,159.752,-0.08110762066455976,7047.803711
1269,159.878,-0.15486312679700667,7048.315918
1270,160.004,-0.18813027862580997,7045.589355
1271,160.129,-0.1900370427294844,7045.411133
1272,160.256,-0.16127472297419243,7047.461914
1273,160.382,-0.12586754995835314,7049.338867
1274,160.508,-0.08749443692729417,7046.738281
1275,160.634,-0.049679817411858174,7046.567383
1276,160.76,-0.03841515450408352,7047.569824
1277,160.886,-0.02473505454802974,7044.461914
1278,161.012,-0.045476692909585184,7046.634277
1279,161.138,-0.0880361851147686,7045.929688
1280,161.264,-0.17344380964510955,7044.867188
1281,161.39,-0.24209732795047564,7043.855957
1282,161.516,-0.29635788170256705,7045.043457
1283,161.641,-0.33649741483456824,7044.893066
1284,161.768,-0.31912803392343303,7044.37207
